Season,District,Taluka,Village,Crop_Variety,Soil_Type,Farm_Area_hectares,Rainfall_mm,Avg_Temp_C,Avg_Humidity_pct,Row_Spacing_cm,Plant_Spacing_cm,Seed_Quantity_kg_hectare,Sowing_Recommended
Kharif,Kolhapur,Shirol,Bhudargad,Pearl Millet (DHANASHREE),Medium Black,7.26,855,25.8,80,48,18,4,No
Rabi,Osmanabad,Tuljapur,Bhum,Wheat (HD-3086),Laterite,7.18,310,22.3,60,25,2,120,Yes
Kharif,Wardha,Arvi,Samudrapur,Groundnut (TG-37A),Clay Loam,9.02,964,33,71,38,13,110,No
Kharif,Jalna,Badnapur,Ambad,Soybean (MACS-450),Shallow Black,10.48,752,33.6,75,45,4,65,Yes
Rabi,Nagpur,Katol,Bhiwapur,Sorghum (CSH-23),Deep Black,5.09,403,25.2,63,45,15,12,Yes
Rabi,Ahmednagar,Sangamner,Akole,Sorghum (CSH-23),Shallow Black,6.47,235,21.4,61,54,13,12,No
Kharif,Kolhapur,Shirol,Hatkanangale,Groundnut (JL-24),Shallow Black,8.72,761,29.5,66,39,12,110,Yes
Rabi,Solapur,Barshi,Madha,Sunflower (BSH-1),Laterite,7.24,204,29.3,65,61,28,6,No
Rabi,Ratnagiri,Dapoli,Sangameshwar,Sorghum (CSH-16),Deep Black,11.26,336,24.2,50,42,15,12,No
Kharif,Mumbai,Mumbai Suburban,Bandra,Pearl Millet (DHANASHREE),Shallow Black,9.9,449,35.9,74,53,13,4,Yes
Kharif,Aurangabad,Vaijapur,Gangapur,Soybean (JS-335),Laterite,8.76,755,32,74,35,6,65,Yes
Rabi,Aurangabad,Gangapur,Sillod,Sunflower (BSH-1),Clay Loam,5.83,390,23.8,65,68,32,6,Yes
Kharif,Ratnagiri,Dapoli,Sangameshwar,Pearl Millet (DHANASHREE),Shallow Black,9.17,678,35.8,62,44,16,4,No
Rabi,Kolhapur,Karvir,Kagal,Wheat (MP-3288),Medium Black,7.35,400,23.5,67,15,3,120,Yes
Kharif,Akola,Akot,Murtizapur,Cotton (NH-615),Medium Black,9.62,660,33.8,67,77,27,2,Yes
Kharif,Amravati,Chandur,Chandur Town,Cotton (NSP-1135),Shallow Black,10.64,787,28,84,75,27,2,Yes
Kharif,Nashik,Niphad,Niphad Town,Cotton (NH-615),Deep Black,10.21,826,30.2,71,84,30,2,Yes
Rabi,Jalgaon,Bhusawal,Chopda,Safflower (A-1),Shallow Black,10.29,218,29.5,50,46,15,15,No
Rabi,Dhule,Sindkhede,Shirpur,Wheat (HI-1500),Deep Black,7.6,220,24.4,63,19,4,120,Yes
Rabi,Osmanabad,Osmanabad City,Bhum,Wheat (HD-3086),Shallow Black,8.58,317,23.8,48,21,4,120,Yes
Rabi,Solapur,Mohol,Akkalkot,Wheat (HI-1500),Laterite,2.86,202,22.9,64,20,2,120,Yes
Kharif,Ratnagiri,Chiplun,Rajapur,Pigeonpea (ICPL-87119),Clay Loam,5.72,637,28.3,55,65,24,15,Yes
Kharif,Parbhani,Gangakhed,Jintur,Pearl Millet (ICTP-8203),Medium Black,7.97,554,31.7,67,53,15,4,Yes
Rabi,Akola,Akot,Balapur,Chickpea (Digvijay),Clay Loam,7.24,295,25.5,49,25,10,75,No
Kharif,Thane,Palghar,Vada,Rice (SAHABHAGI),Shallow Black,5.96,550,33.3,61,26,13,60,No
Kharif,Osmanabad,Tuljapur,Washi,Cotton (NSP-1135),Shallow Black,6.65,745,29.5,58,69,27,2,Yes
Rabi,Satara,Karad,Karad Town,Wheat (HD-3086),Medium Black,1.77,371,18.8,55,23,3,120,Yes
Rabi,Jalgaon,Jamner,Bodwad,Sorghum (CSH-16),Medium Black,6.6,237,29.2,49,49,15,12,No
Rabi,Osmanabad,Osmanabad City,Lohara,Safflower (PBNS-12),Deep Black,11.58,300,29.6,56,53,13,15,No
Rabi,Osmanabad,Osmanabad City,Tuljapur,Chickpea (JG-16),Medium Black,11.32,335,25.8,60,38,9,75,Yes
Rabi,Akola,Akot,Telhara,Chickpea (JG-16),Deep Black,9.59,284,23.3,50,28,8,75,Yes
Kharif,Parbhani,Jintur,Manwath,Soybean (JS-335),Deep Black,8.89,481,31,73,46,4,65,Yes
Kharif,Buldhana,Chikhli,Lonar,Pigeonpea (ICPL-87119),Shallow Black,9.54,717,28.8,61,51,17,15,Yes
Kharif,Nanded,Loha,Mudkhed,Groundnut (JL-24),Laterite,9.53,818,34.9,79,37,19,110,No
Kharif,Amravati,Morshi,Morshi Town,Soybean (MAUS-71),Laterite,5.61,1060,27.8,80,44,5,65,Yes
Kharif,Chandrapur,Ballarpur,Nagbhid,Cotton (NSP-1135),Laterite,9.64,622,30.8,57,79,27,2,Yes
Kharif,Parbhani,Gangakhed,Jintur,Rice (DRRH-3),Deep Black,7.52,485,34.8,75,19,15,60,No
Rabi,Yavatmal,Digras,Umarkhed,Chickpea (Vijay),Clay Loam,10.93,485,28,61,30,14,75,No
Kharif,Amravati,Morshi,Teosa,Pigeonpea (BSMR-736),Clay Loam,4.14,959,34.9,85,49,21,15,No
Rabi,Amravati,Chandur,Achalpur,Safflower (PBNS-12),Clay Loam,6.61,447,23.4,59,37,12,15,Yes
Rabi,Latur,Ahmadpur,Shirur-Anantpal,Sunflower (BSH-1),Shallow Black,8.7,209,28.9,49,65,29,6,No
Kharif,Latur,Udgir,Ahmadpur,Cotton (NSP-1135),Shallow Black,1.86,469,35.3,74,65,27,2,No
Kharif,Satara,Wai,Koregaon,Cotton (NSP-1135),Shallow Black,7.66,726,26.4,66,74,32,2,Yes
Rabi,Yavatmal,Pusad,Ralegaon,Wheat (HI-1500),Clay Loam,8.73,355,20.4,56,22,2,120,Yes
Rabi,Yavatmal,Pusad,Wani,Sunflower (BSH-1),Shallow Black,8.71,355,27.8,71,50,30,6,No
Rabi,Mumbai,Mumbai Suburban,Kandivali,Wheat (MP-3288),Deep Black,5.83,271,28.5,60,27,2,120,No
Kharif,Parbhani,Jintur,Palam,Pearl Millet (DHANASHREE),Laterite,9.35,601,35.7,61,49,17,4,No
Kharif,Latur,Udgir,Ahmadpur,Soybean (JS-335),Clay Loam,6.04,603,29.5,60,41,3,65,Yes
Kharif,Osmanabad,Osmanabad City,Tuljapur,Pigeonpea (BSMR-736),Clay Loam,4.14,678,33.6,57,58,21,15,Yes
Rabi,Latur,Ahmadpur,Shirur-Anantpal,Sunflower (KBSH-53),Medium Black,7.49,231,29.1,57,59,28,6,No
Rabi,Satara,Karad,Patan,Sorghum (CSH-23),Deep Black,8.06,420,17.3,71,39,14,12,Yes
Rabi,Satara,Wai,Karad,Wheat (HI-1500),Deep Black,3,288,18.3,70,19,3,120,Yes
Kharif,Buldhana,Khamgaon,Lonar,Cotton (NSP-1135),Deep Black,6.05,523,33,71,72,31,2,Yes
Rabi,Ahmednagar,Kopargaon,Nevasa,Sorghum (CSH-23),Laterite,3.64,275,21.4,67,49,18,12,No
Rabi,Dhule,Sindkhede,Sakri,Sunflower (BSH-1),Clay Loam,4.58,309,26.9,64,62,28,6,Yes
Rabi,Akola,Akot,Patur,Sunflower (BSH-1),Laterite,6,299,26,65,56,28,6,Yes
Kharif,Wardha,Hinganghat,Ashti,Rice (SAHABHAGI),Medium Black,2.61,1070,27.8,73,15,13,60,Yes
Kharif,Amravati,Morshi,Teosa,Pearl Millet (ICTP-8203),Medium Black,9.6,728,29.1,83,41,15,4,No
Kharif,Wardha,Hinganghat,Hinganghat Town,Pearl Millet (DHANASHREE),Laterite,10.02,704,26.8,67,45,16,4,No
Kharif,Parbhani,Jintur,Palam,Soybean (JS-335),Medium Black,6.11,427,30.9,69,51,3,65,Yes
Rabi,Nagpur,Umred,Bhiwapur,Chickpea (Vijay),Clay Loam,11.14,437,22.4,74,35,11,75,No
Rabi,Yavatmal,Digras,Darwha,Sunflower (KBSH-53),Laterite,5.49,301,24.5,73,56,29,6,No
Kharif,Ahmednagar,Kopargaon,Rahata,Cotton (NSP-1136),Shallow Black,5.04,689,32.6,67,65,30,2,Yes
Rabi,Pune,Junnar,Ale,Wheat (MP-3288),Shallow Black,9.16,250,21,75,23,2,120,Yes
Rabi,Ahmednagar,Sangamner,Sangamner Town,Chickpea (Vijay),Shallow Black,6.33,227,21,62,32,9,75,Yes
Kharif,Buldhana,Chikhli,Lonar,Groundnut (TG-37A),Deep Black,11.81,457,35.6,73,39,14,110,No
Kharif,Mumbai,Mumbai Suburban,Bandra,Pearl Millet (DHANASHREE),Deep Black,9.9,541,28.2,59,48,13,4,Yes
Kharif,Aurangabad,Gangapur,Sillod,Pigeonpea (BSMR-736),Deep Black,1.5,704,31,70,60,18,15,Yes
Rabi,Dhule,Shirpur,Shirpur Town,Sorghum (CSH-16),Clay Loam,2.82,314,25.8,57,50,11,12,Yes
Kharif,Hingoli,Aundha Nagnath,Basmath,Rice (SAHABHAGI),Laterite,11.53,671,33.6,73,29,17,60,No
Kharif,Kolhapur,Shirol,Gadhinglaj,Soybean (JS-335),Laterite,2.97,609,30.9,66,47,7,65,Yes
Rabi,Parbhani,Gangakhed,Sonpeth,Safflower (PBNS-12),Laterite,9.93,185,27.3,56,36,16,15,No
Rabi,Latur,Udgir,Deoni,Wheat (MP-3288),Medium Black,11.37,273,25.4,50,30,2,120,No
Kharif,Osmanabad,Osmanabad City,Tuljapur,Cotton (NSP-1136),Medium Black,4.47,770,35,64,69,32,2,Yes
Rabi,Akola,Balapur,Balapur Town,Safflower (A-1),Laterite,2.46,253,25,52,37,16,15,No
Rabi,Nanded,Loha,Loha Town,Wheat (HI-1500),Shallow Black,6.75,346,21.1,58,16,2,120,Yes
Kharif,Osmanabad,Tuljapur,Lohara,Pearl Millet (DHANASHREE),Medium Black,3.31,415,30.3,63,54,16,4,Yes
Rabi,Wardha,Hinganghat,Hinganghat Town,Wheat (HI-1500),Clay Loam,6.62,417,24.5,70,18,2,120,Yes
Rabi,Mumbai,Mumbai Suburban,Juhu,Chickpea (Vijay),Medium Black,2.6,343,25.6,48,44,11,75,No
Rabi,Nagpur,Umred,Umred Town,Sorghum (CSH-16),Deep Black,2.11,360,26.9,65,46,13,12,Yes
Kharif,Jalgaon,Jamner,Erandol,Cotton (NSP-1135),Medium Black,6.64,722,32.6,65,80,30,2,Yes
Kharif,Yavatmal,Pusad,Mahagaon,Rice (SAHABHAGI),Shallow Black,3.37,1034,30.9,82,21,16,60,Yes
Kharif,Kolhapur,Karvir,Panhala,Groundnut (JL-24),Laterite,4.63,787,27.7,78,36,16,110,No
Kharif,Jalgaon,Bhusawal,Muktainagar,Soybean (MAUS-71),Shallow Black,5.2,746,33.6,72,47,3,65,Yes
Rabi,Thane,Palghar,Shahapur,Wheat (HI-1500),Deep Black,11.02,223,28,48,20,2,120,No
Rabi,Aurangabad,Vaijapur,Gangapur,Safflower (PBNS-12),Deep Black,2.23,347,25.7,64,33,13,15,No
Rabi,Hingoli,Aundha Nagnath,Sengaon,Wheat (HI-1500),Clay Loam,6.95,174,27.9,62,19,2,120,No
Rabi,Osmanabad,Osmanabad City,Osmanabad City,Sunflower (BSH-1),Laterite,9.92,299,26.3,59,54,31,6,Yes
Rabi,Latur,Udgir,Renapur,Sorghum (CSH-23),Clay Loam,8.01,233,29.3,63,55,17,12,Yes
Rabi,Sindhudurg,Oros,Sawantwadi,Wheat (MP-3288),Deep Black,6.9,298,26.8,53,28,2,120,No
Kharif,Latur,Udgir,Deoni,Pigeonpea (ICPL-87119),Deep Black,10.85,631,28.2,58,52,20,15,Yes
Rabi,Solapur,Mohol,Sangola,Sunflower (KBSH-53),Clay Loam,6.88,162,25.9,63,61,32,6,Yes
Kharif,Sangli,Tasgaon,Miraj,Pigeonpea (ICPL-87119),Laterite,5.3,991,31.5,80,66,20,15,No
Kharif,Akola,Akot,Telhara,Soybean (MAUS-71),Medium Black,11.96,731,30.8,58,44,9,65,Yes
Rabi,Nashik,Niphad,Niphad Town,Safflower (PBNS-12),Clay Loam,9.38,361,24.9,59,51,13,15,Yes
Rabi,Satara,Karad,Phaltan,Safflower (A-1),Clay Loam,8.05,405,19.5,55,51,15,15,Yes
Kharif,Mumbai,Mumbai Suburban,Andheri,Groundnut (TG-37A),Clay Loam,9.16,504,33.3,60,43,11,110,Yes
Rabi,Aurangabad,Vaijapur,Phulambri,Safflower (PBNS-12),Clay Loam,1.19,380,23.4,54,48,12,15,Yes
Kharif,Yavatmal,Pusad,Ralegaon,Pigeonpea (BSMR-736),Medium Black,10.09,723,34.8,69,58,16,15,Yes
Kharif,Nanded,Mudkhed,Naigaon,Groundnut (JL-24),Laterite,10.72,719,31.3,73,36,19,110,No
Kharif,Nashik,Niphad,Saptashrungi,Rice (DRRH-3),Medium Black,3.85,825,33.7,72,31,15,60,No
Kharif,Thane,Bhiwandi,Kalyan,Soybean (JS-335),Medium Black,11.48,428,34.6,64,46,4,65,No
Kharif,Parbhani,Jintur,Jintur Town,Groundnut (TG-37A),Medium Black,6.91,530,31.7,71,44,13,110,Yes
Kharif,Buldhana,Khamgaon,Lonar,Groundnut (JL-24),Medium Black,10.71,546,28.1,73,36,13,110,Yes
Kharif,Thane,Palghar,Palghar Town,Groundnut (JL-24),Medium Black,9.83,712,28.7,74,36,16,110,Yes
Rabi,Ahmednagar,Sangamner,Kopargaon,Sorghum (CSH-16),Laterite,7.12,212,18.4,54,43,14,12,No
Kharif,Buldhana,Khamgaon,Nandura,Pearl Millet (DHANASHREE),Medium Black,9.98,410,31.7,62,55,17,4,Yes
Kharif,Satara,Karad,Khatav,Pearl Millet (ICTP-8203),Shallow Black,2.88,625,27.5,84,47,14,4,No
Kharif,Yavatmal,Pusad,Umarkhed,Groundnut (TG-37A),Shallow Black,7.91,823,32.6,78,42,14,110,No
Kharif,Ratnagiri,Chiplun,Dapoli,Rice (SAHABHAGI),Deep Black,11.59,725,34.9,70,24,13,60,No
Rabi,Yavatmal,Pusad,Ralegaon,Wheat (HI-1500),Laterite,2.5,377,20.1,71,24,2,120,Yes
Kharif,Hingoli,Aundha Nagnath,Basmath,Soybean (MAUS-71),Laterite,11.61,716,29.1,66,43,3,65,Yes
Kharif,Buldhana,Chikhli,Deulgaon Raja,Pigeonpea (ICPL-87119),Laterite,11.78,633,34.8,75,65,19,15,No
Kharif,Kolhapur,Shirol,Kagal,Rice (SAHABHAGI),Laterite,2.47,812,28.2,76,22,14,60,Yes
Rabi,Mumbai,Mumbai Suburban,Juhu,Wheat (MP-3288),Laterite,7.53,266,23.7,55,24,2,120,Yes
Kharif,Jalgaon,Jamner,Jamner Town,Soybean (MAUS-71),Clay Loam,1.26,672,31.2,73,43,2,65,Yes
Kharif,Solapur,Mohol,Mohol Town,Pearl Millet (ICTP-8203),Deep Black,5.63,589,33.7,62,44,15,4,Yes
Rabi,Nanded,Kinwat,Kinwat Town,Chickpea (Vijay),Laterite,8.45,327,22.7,69,33,9,75,Yes
Kharif,Nashik,Satana,Abhona,Pigeonpea (ICPL-87119),Laterite,6.24,658,28.1,75,66,21,15,No
Rabi,Akola,Akot,Patur,Safflower (PBNS-12),Shallow Black,8.77,348,29.8,60,43,14,15,No
Kharif,Satara,Karad,Satara Rural,Pearl Millet (ICTP-8203),Shallow Black,5.18,866,28.1,83,48,14,4,No
Kharif,Sangli,Tasgaon,Palus,Pigeonpea (ICPL-87119),Laterite,3.49,1165,28.4,76,56,18,15,No
Kharif,Amravati,Chandur,Teosa,Pigeonpea (ICPL-87119),Shallow Black,7.04,823,33.1,80,60,19,15,No
Rabi,Ratnagiri,Chiplun,Lanja,Safflower (PBNS-12),Shallow Black,5.92,271,26.4,62,37,16,15,No
Kharif,Chandrapur,Ballarpur,Nagbhid,Cotton (NSP-1136),Clay Loam,3.68,611,33.9,66,74,30,2,Yes
Rabi,Jalna,Ambad,Ambad Town,Sorghum (CSH-16),Clay Loam,2.78,259,20.6,51,43,14,12,No
Kharif,Chandrapur,Ballarpur,Chimur,Rice (SAHABHAGI),Medium Black,8.76,618,30.7,66,20,18,60,No
Rabi,Jalgaon,Jamner,Muktainagar,Safflower (A-1),Laterite,4.52,334,26.8,61,46,13,15,No
Rabi,Jalna,Badnapur,Ambad,Sunflower (BSH-1),Deep Black,3.29,286,25.7,64,59,29,6,Yes
Rabi,Satara,Karad,Satara Rural,Sorghum (CSH-23),Deep Black,2.03,398,17,70,48,13,12,No
Rabi,Amravati,Chandur,Morshi,Wheat (MP-3288),Clay Loam,8.81,391,26.5,75,19,2,120,Yes
Rabi,Pune,Junnar,Khadakwasla,Sunflower (BSH-1),Deep Black,10.6,292,20.2,69,54,29,6,Yes
Rabi,Thane,Palghar,Vada,Chickpea (Digvijay),Medium Black,1.96,218,29.3,59,33,8,75,No
Rabi,Dhule,Shirpur,Sakri,Safflower (A-1),Clay Loam,2.07,190,25.6,46,45,13,15,No
Kharif,Buldhana,Chikhli,Khamgaon,Rice (SAHABHAGI),Clay Loam,11.99,702,28.6,64,26,15,60,No
Rabi,Jalgaon,Jamner,Jamner Town,Sunflower (BSH-1),Clay Loam,9.78,168,24.8,65,70,30,6,Yes
Rabi,Satara,Wai,Jaoli,Sorghum (CSH-23),Laterite,4.19,404,16,75,49,16,12,Yes
Kharif,Sangli,Miraj,Miraj Town,Rice (DRRH-3),Deep Black,11.37,858,27.2,79,21,15,60,Yes
Kharif,Latur,Udgir,Renapur,Pearl Millet (ICTP-8203),Medium Black,1.48,471,30.9,63,45,16,4,Yes
Rabi,Dhule,Sindkhede,Sakri,Chickpea (Digvijay),Medium Black,4.75,196,22.8,61,32,9,75,Yes
Rabi,Wardha,Arvi,Arvi Town,Chickpea (JG-16),Shallow Black,10.43,477,25.5,60,36,10,75,No
Kharif,Osmanabad,Tuljapur,Tuljapur Town,Rice (SAHABHAGI),Medium Black,10.64,539,30.4,73,16,11,60,No
Rabi,Nagpur,Umred,Nagpur Rural,Sunflower (BSH-1),Deep Black,6.04,312,22.2,64,53,30,6,Yes
Kharif,Aurangabad,Vaijapur,Vaijapur Town,Rice (DRRH-3),Medium Black,4.49,510,30.5,75,30,17,60,No
Kharif,Sindhudurg,Oros,Oros Town,Cotton (NSP-1135),Laterite,9.64,666,30.2,74,75,30,2,Yes
Kharif,Yavatmal,Digras,Ghatanji,Soybean (JS-335),Shallow Black,11.91,1076,27.7,71,44,2,65,Yes
Kharif,Hingoli,Basmath,Hingoli City,Soybean (MAUS-71),Medium Black,3.3,725,32.5,68,47,2,65,Yes
Kharif,Wardha,Arvi,Samudrapur,Soybean (MACS-450),Medium Black,10.49,1039,26.2,85,46,5,65,Yes
Rabi,Satara,Karad,Wai,Safflower (A-1),Deep Black,9.68,343,20.5,69,42,10,15,Yes
Kharif,Satara,Wai,Karad,Cotton (NSP-1135),Deep Black,11.42,753,29.8,74,77,31,2,Yes
Rabi,Sindhudurg,Oros,Kudal,Safflower (A-1),Clay Loam,10.88,219,22.5,45,39,17,15,No
Kharif,Satara,Karad,Wai,Pigeonpea (ICPL-87119),Deep Black,6.12,895,26.5,85,53,20,15,No
Kharif,Jalna,Ambad,Partur,Rice (DRRH-3),Laterite,5.27,855,27.7,80,23,11,60,Yes
Kharif,Hingoli,Aundha Nagnath,Sengaon,Cotton (NSP-1136),Medium Black,4.45,409,35.1,75,75,29,2,No
Rabi,Aurangabad,Vaijapur,Kannad,Sorghum (CSH-23),Laterite,6.41,367,19.3,56,52,13,12,No
Rabi,Yavatmal,Pusad,Ralegaon,Sorghum (CSH-16),Deep Black,11.95,336,28,56,38,15,12,Yes
Kharif,Pune,Junnar,Ale,Cotton (NSP-1136),Deep Black,9.81,847,25.6,69,76,29,2,Yes
Rabi,Osmanabad,Tuljapur,Washi,Wheat (HD-3086),Clay Loam,9.55,218,23.4,57,21,3,120,Yes
Rabi,Nanded,Mudkhed,Hadgaon,Sunflower (KBSH-53),Clay Loam,5.31,453,26.6,57,59,33,6,Yes
